,price_close,price_high,price_low,price_open,time_close,time_open,time_period_end,time_period_start,trades_count,volume_traded
19,261.739,279.7,210.0,243.32,2015-06-30T23:59:57.0000000Z,2015-04-01T00:00:03.0000000Z,2015-07-01T00:00:00.0000000Z,2015-04-01T00:00:00.0000000Z,6380958,6009025.1459634
20,234.368,325.0,162.0,261.797,2015-09-30T23:59:57.0000000Z,2015-07-01T00:00:02.0000000Z,2015-10-01T00:00:00.0000000Z,2015-07-01T00:00:00.0000000Z,6633303,6486081.67701916
21,427.964,504.0,232.217,234.396,2015-12-31T23:59:53.0000000Z,2015-10-01T00:00:05.0000000Z,2016-01-01T00:00:00.0000000Z,2015-10-01T00:00:00.0000000Z,8722473,10065724.620424077
22,412.997,465.0,346.012,430.35,2016-03-31T23:59:58.0000000Z,2016-01-01T00:00:16.0000000Z,2016-04-01T00:00:00.0000000Z,2016-01-01T00:00:00.0000000Z,6416323,5769160.28364953
23,662.31,789.78,1.5,416.03,2016-06-30T23:59:59.0000000Z,2016-04-01T00:00:02.7230000Z,2016-07-01T00:00:00.0000000Z,2016-04-01T00:00:00.0000000Z,6844787,5988113.94795722
24,608.23,706.98,460.3,662.375,2016-09-30T23:59:59.0000000Z,2016-07-01T00:00:03.0000000Z,2016-10-01T00:00:00.0000000Z,2016-07-01T00:00:00.0000000Z,3975917,3360388.31147711
25,973.37,4000.0,575.0,608.99,2016-12-31T23:59:58.8300000Z,2016-10-01T00:00:07.5480000Z,2017-01-01T00:00:00.0000000Z,2016-10-01T00:00:00.0000000Z,4446926,2580708.29185061
26,1088.99,1587.32,0.14,973.37,2017-03-31T23:59:59.9530000Z,2017-01-01T00:00:00.8640000Z,2017-04-01T00:00:00.0000000Z,2017-01-01T00:00:00.0000000Z,7066921,5559814.022685808
27,2455.19,3259.47,0.06,1081.3,2017-06-30T23:59:59.7300000Z,2017-04-01T00:00:00.0000000Z,2017-07-01T00:00:00.0000000Z,2017-04-01T00:00:00.0000000Z,15337483,7364955.337551033
28,4326.09,5299.99,1758.2,2412.0,2017-09-30T23:59:58.0000000Z,2017-07-01T00:00:00.0000000Z,2017-10-01T00:00:00.0000000Z,2017-07-01T00:00:00.0000000Z,16348838,11409316.290881569
29,13990.0,400000.0,3500.0,4328.0,2017-12-31T23:59:59.5650000Z,2017-10-01T00:00:00.0000000Z,2018-01-01T00:00:00.0000000Z,2017-10-01T00:00:00.0000000Z,33180482,12856384.19421222
30,6921.27,950000.0,-205671.2,14794.91,2018-03-31T23:59:56.7370000Z,2018-01-01T00:00:00.0000000Z,2018-04-01T00:00:00.0000000Z,2018-01-01T00:00:00.0000000Z,41717589,3015099100.1400757
31,6383.19,11553243.63,1007.94,6928.5,2018-06-30T23:59:58.6130000Z,2018-04-01T00:00:00.8800000Z,2018-07-01T00:00:00.0000000Z,2018-04-01T00:00:00.0000000Z,21299405,447440110.3032788
32,6607.8,99999999.99,0.00247877,6383.19,2018-09-30T23:59:59.0000000Z,2018-07-01T00:00:01.8350000Z,2018-10-01T00:00:00.0000000Z,2018-07-01T00:00:00.0000000Z,18370890,385667135.06233764
33,3691.86,28260603.06,96.42,6607.8,2018-12-31T23:59:59.4120000Z,2018-10-01T00:00:01.0000000Z,2019-01-01T00:00:00.0000000Z,2018-10-01T00:00:00.0000000Z,18672520,46112068.71279403
34,4094.99,1688820.0,6.36e-07,3690.9,2019-03-31T23:59:59.1490000Z,2019-01-01T00:00:00.4730000Z,2019-04-01T00:00:00.0000000Z,2019-01-01T00:00:00.0000000Z,12554838,24616391.35627176
35,5165.28,53000.098,941.19,4095.0,2019-04-27T15:38:58.8380000Z,2019-04-01T00:00:00.2600000Z,2019-07-01T00:00:00.0000000Z,2019-04-01T00:00:00.0000000Z,5461663,2594138.386167901
